Bahrain,BHR,0.79,0.31,4.00,74.46,62.50,88.59,0.76,0.33,4.00,72.83,60.33,90.22,0.75,0.31,4.00,75.54,61.41,88.04,0.87,0.22,6.00,73.51,65.95,84.86,0.62,0.20,5.00,67.03,61.62,76.76,0.70,0.20,6.00,71.14,63.68,79.10,0.66,0.17,6.00,70.10,61.76,76.96,0.68,0.21,6.00,71.08,60.78,79.90,0.76,0.22,6.00,72.82,64.08,83.98,0.71,0.22,6.00,72.33,62.14,81.55,0.69,0.20,7.00,72.73,62.20,79.90,0.71,0.20,7.00,74.16,63.64,81.34,0.72,0.20,7.00,75.36,62.09,80.09,0.68,0.23,7.00,72.99,61.14,80.57,0.60,0.22,7.00,70.14,59.72,79.15,0.70,0.23,7.00,73.08,63.46,82.21,0.80,0.22,7.00,76.67,66.19,84.29,0.60,0.23,7.00,70.48,62.38,80.95,0.40,0.23,6.00,66.67,55.24,75.71,0.41,0.23,6.00,66.67,56.67,75.24,0.47,0.22,7.00,68.10,60.48,74.29,0.61,0.24,6.00,72.38,58.10,81.43,0.84,0.22,7.00,76.19,67.14,84.76,0.97,0.23,7.00,78.30,71.70,88.21
"Bahamas, The",BHS,0.97,0.35,3.00,78.26,64.67,93.48,1.01,0.38,3.00,83.15,64.67,95.11,1.14,0.36,3.00,85.33,67.93,95.65,1.30,0.29,3.00,87.57,72.43,97.84,1.15,0.24,3.00,83.24,71.89,91.89,1.12,0.26,3.00,81.59,70.65,91.54,1.10,0.20,3.00,79.90,71.08,90.69,1.05,0.26,3.00,80.39,70.10,92.16,1.03,0.29,3.00,81.55,67.48,92.23,1.05,0.30,3.00,81.55,66.02,93.20,0.80,0.26,4.00,74.16,62.68,85.65,0.55,0.28,4.00,67.94,54.55,79.90,0.52,0.28,4.00,67.77,54.03,79.15,0.39,0.28,4.00,63.98,50.24,76.30,0.19,0.28,4.00,58.29,44.55,72.04,0.17,0.28,4.00,56.73,42.31,70.67,0.15,0.25,5.00,57.62,44.29,69.05,0.24,0.25,5.00,63.81,46.67,71.43,0.11,0.25,5.00,59.05,40.00,70.48,0.17,0.25,5.00,61.90,43.81,70.95,-0.06,0.24,5.00,50.00,34.76,63.81,0.00,0.26,5.00,52.38,37.14,63.81,0.06,0.26,5.00,54.29,39.52,67.14,-0.15,0.26,5.00,47.17,29.72,60.85
Bosnia and Herzegovina,BIH,-0.91,0.32,3.00,19.57,5.98,36.96,-1.03,0.30,4.00,16.30,6.52,27.72,-0.68,0.28,5.00,24.46,13.04,41.30,-0.61,0.23,6.00,29.73,17.84,45.41,-0.47,0.19,6.00,37.84,21.08,51.89,-0.23,0.19,8.00,46.77,29.85,56.72,-0.58,0.16,9.00,30.39,21.08,43.63,-0.47,0.19,9.00,35.29,21.57,50.00,-0.29,0.19,9.00,45.63,27.18,53.40,-0.18,0.18,9.00,50.49,35.92,55.34,-0.11,0.17,9.00,50.72,37.80,56.94,-0.12,0.17,9.00,50.24,38.28,54.55,-0.06,0.17,8.00,52.13,39.81,56.87,-0.06,0.17,11.00,51.66,40.76,57.35,-0.07,0.17,11.00,50.24,39.34,58.29,-0.04,0.20,9.00,50.48,38.46,63.46,-0.18,0.19,10.00,46.67,34.29,56.19,-0.14,0.20,9.00,48.57,34.29,60.95,-0.06,0.21,8.00,50.48,35.24,64.29,-0.14,0.21,8.00,47.14,33.81,61.90,-0.13,0.21,8.00,48.57,33.81,60.95,-0.18,0.23,7.00,44.76,31.43,57.62,-0.20,0.24,6.00,46.19,31.90,59.52,-0.16,0.24,6.00,45.75,31.13,60.38
Belarus,BLR,-1.09,0.34,3.00,14.13,4.35,26.63,-1.50,0.32,4.00,7.07,2.17,16.30,-1.50,0.31,5.00,7.61,2.72,15.22,-1.40,0.24,6.00,6.49,2.70,16.22,-1.30,0.20,6.00,8.65,3.24,17.84,-1.19,0.21,6.00,11.44,5.47,19.90,-1.44,0.18,6.00,6.86,1.96,11.76,-1.60,0.20,7.00,3.92,2.45,8.82,-1.42,0.20,7.00,6.80,2.43,16.02,-1.25,0.21,7.00,8.25,3.40,18.93,-1.16,0.20,7.00,12.44,5.26,22.01,-1.19,0.19,7.00,10.05,5.74,20.10,-1.32,0.19,7.00,8.06,2.84,17.06,-1.17,0.19,9.00,11.37,4.74,21.80,-1.16,0.19,9.00,11.37,6.16,22.75,-1.10,0.20,9.00,12.50,5.77,25.48,-1.17,0.20,9.00,10.48,4.76,22.38,-1.09,0.20,8.00,12.38,5.71,23.33,-0.86,0.21,7.00,18.10,10.48,32.38,-0.82,0.21,7.00,19.05,9.52,34.29,-0.67,0.21,7.00,27.62,11.90,40.48,-0.80,0.22,6.00,21.43,10.48,36.67,-0.93,0.22,6.00,17.14,8.10,32.38,-1.33,0.23,6.00,7.55,3.77,16.51
Belize,BLZ,0.14,0.36,2.00,61.41,30.43,72.28,0.20,0.39,2.00,59.78,30.98,75.00,0.21,0.37,2.00,60.87,34.24,77.72,0.15,0.34,2.00,59.46,39.46,70.81,0.17,0.26,2.00,58.38,48.11,66.49,-0.12,0.28,3.00,49.25,28.86,63.68,0.07,0.20,3.00,54.90,47.06,61.76,-0.30,0.25,4.00,44.12,23.04,55.39,-0.35,0.28,4.00,40.29,21.84,57.28,-0.38,0.26,4.00,40.29,21.36,53.88,-0.37,0.26,4.00,39.23,23.44,54.55,-0.34,0.27,4.00,40.19,23.44,54.55,-0.38,0.26,5.00,38.39,23.22,54.03,-0.44,0.27,4.00,36.02,21.80,52.61,-0.45,0.27,4.00,35.55,21.80,53.08,-0.46,0.27,4.00,34.13,18.27,51.44,-0.44,0.25,5.00,35.71,21.90,51.43,-0.49,0.26,5.00,33.33,17.14,50.95,-0.56,0.26,5.00,30.48,14.76,47.14,-0.67,0.26,5.00,28.10,11.43,43.81,-0.56,0.25,5.00,30.95,13.33,47.14,-0.55,0.27,5.00,31.90,13.81,47.14,-0.42,0.28,4.00,36.67,18.57,53.33,-0.44,0.28,4.00,35.85,19.34,52.83
Bermuda,BMU,1.51,0.39,1.00,92.39,76.63,99.46,1.48,0.44,1.00,93.48,72.28,100.00,1.46,0.42,1.00,91.85,76.09,100.00,1.42,0.37,1.00,90.81,72.43,100.00,1.41,0.28,1.00,90.27,77.30,99.46,1.44,0.32,1.00,89.55,78.11,100.00,1.36,0.21,1.00,90.69,78.43,99.02,1.35,0.31,1.00,91.18,73.53,99.51,1.38,0.37,1.00,90.78,73.79,99.51,1.40,0.38,1.00,91.26,73.79,100.00,1.41,0.41,1.00,91.39,73.21,100.00,1.39,0.46,1.00,89.95,70.81,100.00,1.37,0.46,1.00,90.05,70.14,100.00,1.32,0.50,1.00,88.63,67.77,100.00,1.32,0.50,1.00,89.10,67.30,100.00,0.88,0.51,1.00,78.37,53.37,94.23,0.90,0.46,1.00,78.57,57.14,92.86,0.86,0.49,1.00,78.10,55.71,92.38,0.83,0.47,1.00,78.10,56.19,91.90,0.81,0.49,1.00,77.14,54.76,92.38,0.84,0.49,1.00,75.24,57.62,94.29,0.93,0.52,1.00,79.52,56.19,96.67,0.95,0.49,1.00,80.95,57.62,96.67,0.97,0.47,1.00,80.19,58.96,96.70
Bolivia,BOL,0.00,0.31,4.00,54.35,28.80,66.30,0.17,0.33,4.00,58.70,34.78,72.28,0.02,0.26,5.00,54.89,33.70,65.22,-0.09,0.22,6.00,51.35,37.84,61.62,-0.15,0.19,6.00,50.81,37.84,57.84,-0.27,0.20,7.00,45.27,28.86,56.22,-0.69,0.16,8.00,25.00,18.63,39.22,-0.89,0.19,9.00,20.10,10.78,29.41,-0.99,0.19,9.00,16.99,8.25,25.24,-0.86,0.18,9.00,20.39,11.65,30.10,-0.87,0.17,9.00,21.53,12.44,29.67,-0.80,0.17,9.00,22.97,14.35,33.01,-0.76,0.16,10.00,24.17,15.17,33.18,-0.83,0.18,10.00,22.75,12.32,31.75,-0.79,0.18,10.00,24.17,14.69,34.12,-0.89,0.19,10.00,19.71,9.62,31.25,-0.92,0.18,10.00,17.62,9.52,30.00,-1.02,0.21,9.00,12.86,6.19,26.67,-1.00,0.20,8.00,14.29,8.10,28.10,-1.01,0.20,8.00,12.86,8.10,26.19,-1.00,0.20,9.00,12.86,7.62,27.14,-1.04,0.21,8.00,12.86,8.10,26.67,-1.17,0.20,8.00,10.95,5.24,20.95,-1.21,0.21,8.00,10.38,4.72,20.28
Brazil,BRA,0.30,0.28,6.00,63.04,49.46,72.28,0.33,0.27,6.00,63.04,48.37,73.37,0.26,0.23,6.00,62.50,48.91,69.57,0.18,0.21,7.00,60.54,48.11,67.03,0.20,0.18,7.00,60.54,52.97,65.95,0.04,0.19,8.00,55.72,44.78,63.68,0.04,0.16,8.00,54.41,48.53,60.29,-0.04,0.19,9.00,53.92,41.67,57.84,-0.02,0.20,9.00,52.43,40.78,60.68,0.08,0.19,9.00,54.37,47.57,63.11,0.13,0.19,9.00,55.98,48.33,63.64,0.25,0.19,9.00,59.81,52.15,67.94,0.26,0.18,10.00,59.72,52.13,68.72,0.17,0.19,10.00,56.87,46.45,67.77,0.15,0.19,10.00,56.40,46.45,66.35,-0.03,0.20,10.00,50.96,39.42,63.46,-0.18,0.19,10.00,47.14,34.29,56.19,-0.19,0.20,10.00,46.67,31.90,59.52,-0.13,0.19,10.00,47.62,33.81,61.43,-0.29,0.19,10.00,40.48,29.05,55.71,-0.12,0.19,10.00,49.05,35.24,60.95,-0.11,0.20,9.00,47.62,36.67,58.10,-0.12,0.21,8.00,47.14,35.24,60.00,-0.22,0.21,8.00,43.87,29.72,55.19
Barbados,BRB,1.29,0.36,2.00,88.59,71.74,98.37,1.28,0.39,2.00,89.67,70.65,98.37,1.26,0.37,2.00,88.59,69.57,98.91,1.08,0.34,2.00,82.70,67.57,94.59,1.12,0.26,2.00,81.62,70.81,91.89,1.08,0.28,3.00,80.10,68.66,91.54,1.15,0.20,3.00,83.82,72.55,91.67,1.00,0.26,4.00,79.90,66.67,91.67,1.08,0.29,4.00,83.01,67.96,93.20,0.88,0.31,3.00,76.21,62.14,89.32,0.58,0.28,4.00,69.38,55.50,80.38,0.51,0.29,4.00,66.99,53.59,79.43,0.64,0.29,4.00,72.99,55.92,81.99,0.45,0.29,4.00,65.88,52.61,77.25,0.45,0.28,4.00,66.35,53.08,78.20,0.34,0.30,4.00,64.42,48.56,76.44,0.55,0.26,4.00,68.57,56.19,80.00,0.47,0.27,5.00,67.14,54.29,79.05,0.48,0.27,4.00,70.48,55.71,79.05,0.53,0.27,4.00,70.48,58.10,80.95,0.40,0.26,5.00,65.24,50.95,74.29,0.47,0.27,5.00,66.19,52.86,77.62,0.55,0.28,5.00,71.43,56.67,81.43,0.48,0.27,5.00,67.92,53.30,77.36
Brunei Darussalam,BRN,1.35,0.37,2.00,89.67,72.28,98.91,0.89,0.42,2.00,76.09,59.78,94.57,0.94,0.40,2.00,79.35,63.59,94.02,1.05,0.31,2.00,80.54,67.57,93.51,1.00,0.25,2.00,78.38,66.49,88.65,1.20,0.27,2.00,84.58,72.14,95.02,0.91,0.20,2.00,76.47,66.18,84.31,0.94,0.27,2.00,77.94,65.20,91.18,0.99,0.32,2.00,80.10,65.53,92.23,0.78,0.32,3.00,74.27,58.74,87.38,1.08,0.27,4.00,81.82,70.33,93.78,1.11,0.30,4.00,81.82,70.81,93.78,1.15,0.31,4.00,84.36,72.51,95.26,1.15,0.31,4.00,84.83,71.56,95.26,1.10,0.27,5.00,82.46,72.04,91.94,0.98,0.28,4.00,79.81,67.79,90.38,0.84,0.27,4.00,77.14,65.24,88.57,0.58,0.27,6.00,69.52,60.00,81.43,0.70,0.26,6.00,75.24,64.29,81.90,0.68,0.26,6.00,74.29,62.38,82.86,0.62,0.26,6.00,73.33,60.95,81.90,0.90,0.29,4.00,76.67,63.81,90.48,0.99,0.29,4.00,81.43,68.10,90.95,1.07,0.29,4.00,82.55,71.70,92.45
Bhutan,BTN,-0.41,0.39,1.00,34.24,14.67,62.50,-0.41,0.44,1.00,33.15,13.59,61.96,-0.43,0.42,1.00,32.61,14.67,61.96,-0.51,0.37,1.00,35.68,13.51,57.30,-0.05,0.28,1.00,55.14,34.59,64.32,-0.92,0.30,2.00,18.91,6.97,38.81,-0.29,0.19,5.00,46.08,29.41,53.92,-0.58,0.23,5.00,29.90,17.65,49.51,-0.71,0.23,5.00,23.79,16.02,41.26,-0.77,0.19,6.00,22.82,16.02,36.89,-1.07,0.18,7.00,14.35,6.22,23.44,-1.16,0.17,7.00,11.00,5.74,19.62,-1.15,0.17,7.00,11.37,5.69,21.80,-1.09,0.19,7.00,12.80,7.11,24.17,-1.09,0.19,8.00,14.69,6.64,24.17,-1.01,0.21,8.00,15.87,7.21,28.37,-0.74,0.20,8.00,26.67,12.38,39.05,-0.69,0.21,8.00,26.67,12.38,40.48,-0.34,0.22,7.00,39.52,27.14,55.24,-0.38,0.23,6.00,37.62,23.81,52.86,-0.36,0.23,6.00,39.52,24.29,55.24,-0.33,0.24,6.00,39.52,25.71,55.71,-0.41,0.22,7.00,37.14,23.33,50.95,-0.38,0.22,7.00,38.68,21.70,51.42
South Sudan,SSD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-1.72,0.35,1.00,2.84,0.47,11.37,-1.45,0.23,5.00,6.16,2.37,13.27,-1.52,0.23,5.00,5.21,1.42,12.32,-1.64,0.21,6.00,4.33,1.92,8.17,-1.67,0.20,6.00,3.33,1.90,6.19,-1.80,0.20,6.00,2.86,0.95,5.71,-1.95,0.20,6.00,2.86,0.00,3.33,-2.04,0.20,6.00,2.38,0.48,3.33,-1.98,0.20,6.00,2.86,0.48,4.76,-2.01,0.21,5.00,2.38,0.00,4.29,-2.00,0.20,5.00,2.38,0.00,3.81,-2.10,0.21,5.00,0.94,0.00,3.77
Botswana,BWA,0.65,0.31,4.00,70.65,60.33,83.70,0.83,0.33,4.00,75.00,61.41,91.30,0.80,0.31,4.00,77.17,63.59,89.13,0.90,0.22,6.00,74.59,67.57,87.03,0.84,0.19,6.00,72.97,65.95,83.24,0.76,0.20,7.00,74.13,64.68,80.60,0.72,0.17,7.00,71.08,62.75,77.94,0.61,0.20,8.00,69.12,58.33,76.96,0.63,0.21,8.00,70.39,60.19,79.13,0.64,0.20,8.00,69.42,61.17,79.13,0.61,0.19,8.00,69.86,62.20,77.03,0.58,0.19,8.00,68.42,59.81,77.03,0.58,0.19,8.00,69.67,59.72,77.25,0.69,0.20,9.00,73.46,63.51,79.62,0.64,0.20,9.00,72.04,62.09,79.15,0.76,0.22,8.00,75.96,65.38,82.69,0.55,0.20,9.00,69.05,60.95,77.14,0.73,0.21,8.00,75.24,65.71,82.86,0.59,0.20,8.00,71.90,63.81,79.05,0.62,0.20,8.00,73.33,62.86,80.48,0.50,0.20,8.00,69.05,60.95,74.29,0.53,0.21,8.00,70.95,57.62,76.19,0.60,0.21,8.00,71.90,60.00,79.05,0.62,0.21,8.00,72.17,60.85,77.83
Central African Republic,CAF,-0.89,0.39,1.00,21.20,5.43,45.11,-0.88,0.44,1.00,20.11,5.98,46.74,-0.90,0.42,1.00,17.39,5.98,41.30,-0.98,0.28,3.00,18.38,5.95,35.14,-1.12,0.23,3.00,14.59,4.32,22.70,-1.20,0.20,5.00,9.95,5.47,19.40,-1.32,0.16,6.00,9.31,3.92,15.69,-1.27,0.18,6.00,9.31,3.92,17.65,-1.27,0.18,6.00,8.74,4.37,17.48,-1.19,0.18,5.00,10.19,3.88,18.93,-1.26,0.16,8.00,8.13,4.78,16.75,-1.16,0.16,8.00,10.53,5.74,19.14,-1.20,0.16,8.00,9.95,5.69,20.38,-1.07,0.18,8.00,13.27,7.58,24.64,-1.17,0.18,8.00,10.90,6.16,21.80,-1.39,0.19,8.00,6.73,3.37,12.50,-1.44,0.18,8.00,5.71,2.38,10.95,-1.42,0.18,8.00,6.19,2.86,10.48,-1.50,0.18,8.00,5.24,3.33,10.48,-1.39,0.18,8.00,7.62,3.33,10.95,-1.38,0.18,8.00,7.62,4.29,10.95,-1.50,0.19,7.00,6.19,3.81,10.48,-1.51,0.18,7.00,5.24,3.33,9.52,-1.47,0.19,7.00,6.13,3.77,11.79
Canada,CAN,1.49,0.28,6.00,91.30,80.98,98.91,1.54,0.27,6.00,94.57,85.33,99.46,1.46,0.23,6.00,92.39,82.07,98.37,1.53,0.23,6.00,92.43,83.24,100.00,1.52,0.20,6.00,91.35,85.41,99.46,1.62,0.21,6.00,94.53,86.57,100.00,1.57,0.17,6.00,93.63,87.75,100.00,1.56,0.21,7.00,93.63,85.29,99.51,1.61,0.22,7.00,94.17,86.41,99.51,1.65,0.23,7.00,95.63,86.89,100.00,1.70,0.22,7.00,96.65,87.56,100.00,1.69,0.24,7.00,96.17,86.12,100.00,1.68,0.22,8.00,95.73,88.15,100.00,1.71,0.23,8.00,95.73,89.10,100.00,1.73,0.22,8.00,95.26,89.57,100.00,1.84,0.23,8.00,97.60,90.87,99.52,1.71,0.22,8.00,93.81,90.00,99.05,1.73,0.23,8.00,94.29,89.05,99.05,1.88,0.22,8.00,97.62,91.43,100.00,1.70,0.22,8.00,94.29,89.05,99.05,1.71,0.22,8.00,95.71,89.52,99.52,1.59,0.23,7.00,94.29,85.24,99.52,1.61,0.23,7.00,94.29,85.71,99.52,1.68,0.23,7.00,95.75,87.26,99.53
Switzerland,CHE,1.56,0.28,6.00,95.11,83.70,98.91,1.64,0.27,6.00,96.20,86.41,99.46,1.79,0.23,6.00,97.83,90.22,100.00,1.73,0.23,6.00,97.84,88.65,100.00,1.68,0.20,6.00,96.76,88.65,100.00,1.64,0.21,6.00,95.02,87.06,100.00,1.55,0.17,6.00,93.14,86.76,100.00,1.50,0.22,6.00,92.65,84.31,99.51,1.65,0.23,6.00,95.15,86.41,100.00,1.56,0.24,6.00,93.69,84.47,99.51,1.55,0.22,7.00,94.26,84.21,100.00,1.62,0.24,7.00,94.74,85.17,100.00,1.62,0.23,7.00,94.79,86.26,100.00,1.65,0.24,7.00,95.26,86.73,100.00,1.62,0.24,7.00,94.31,86.26,100.00,1.80,0.25,7.00,96.15,89.90,99.52,1.73,0.24,7.00,95.24,90.00,99.05,1.90,0.25,7.00,98.10,91.90,100.00,1.88,0.24,7.00,97.14,90.95,100.00,1.79,0.24,7.00,97.14,90.00,99.52,1.65,0.24,7.00,94.76,86.67,99.52,1.58,0.26,6.00,93.81,83.33,99.52,1.72,0.26,6.00,95.71,86.19,99.52,1.62,0.26,6.00,94.34,85.38,99.53
Chile,CHL,1.54,0.28,6.00,94.02,83.15,98.91,1.38,0.27,6.00,91.30,78.26,97.28,1.40,0.23,6.00,90.22,81.52,97.28,1.32,0.21,7.00,88.11,79.46,94.59,1.33,0.18,7.00,88.65,78.92,94.59,1.37,0.19,8.00,88.56,79.60,95.52,1.31,0.16,8.00,88.73,78.43,93.63,1.42,0.19,9.00,91.67,83.33,97.55,1.49,0.20,9.00,91.75,85.44,98.06,1.50,0.20,8.00,92.72,84.47,98.06,1.43,0.19,8.00,91.87,82.78,97.13,1.42,0.20,8.00,90.43,81.34,97.61,1.44,0.19,9.00,91.47,83.41,95.73,1.54,0.20,9.00,92.42,86.26,98.58,1.48,0.20,9.00,91.94,85.31,97.63,1.48,0.21,9.00,91.83,83.65,97.12,1.32,0.20,9.00,89.05,80.00,92.38,1.36,0.20,9.00,90.00,81.43,93.33,1.33,0.20,9.00,89.05,80.48,93.33,1.30,0.20,9.00,88.10,80.95,93.33,1.16,0.20,9.00,83.33,75.24,91.43,0.95,0.21,8.00,80.48,71.90,87.14,0.94,0.21,8.00,78.57,71.43,86.19,0.98,0.21,8.00,81.13,72.17,88.21
China,CHN,-0.27,0.28,6.00,45.11,23.37,61.96,-0.27,0.27,6.00,40.22,22.83,58.70,-0.32,0.23,6.00,36.96,23.91,56.52,-0.58,0.21,7.00,31.89,18.92,44.86,-0.39,0.18,7.00,41.08,24.86,52.97,-0.35,0.19,8.00,42.79,25.37,52.74,-0.18,0.16,8.00,49.51,37.75,55.39,-0.26,0.19,9.00,47.06,29.90,54.41,-0.23,0.20,9.00,49.03,30.58,57.28,-0.22,0.19,9.00,48.54,32.52,54.85,-0.30,0.19,9.00,43.54,29.67,53.11,-0.32,0.19,9.00,40.67,28.71,52.63,-0.26,0.18,10.00,42.65,32.70,54.03,-0.28,0.19,10.00,42.65,29.86,53.08,-0.33,0.19,10.00,41.23,28.91,53.08,-0.33,0.20,10.00,41.35,28.37,51.92,-0.35,0.19,10.00,41.90,27.14,51.43,-0.31,0.20,10.00,40.95,28.10,53.33,-0.18,0.19,10.00,45.24,32.86,59.52,-0.23,0.19,10.00,44.29,30.48,58.57,-0.30,0.19,9.00,41.90,28.57,55.24,-0.20,0.21,8.00,44.29,31.90,57.14,-0.33,0.21,8.00,40.00,26.67,52.86,-0.42,0.21,8.00,36.79,21.23,50.00
Côte d'Ivoire,CIV,-0.40,0.31,4.00,36.41,19.57,59.24,-0.29,0.33,4.00,39.13,20.65,61.41,-0.55,0.31,4.00,28.26,14.67,51.63,-0.42,0.23,5.00,38.38,21.08,53.51,-0.75,0.20,5.00,22.70,15.14,37.84,-1.03,0.18,7.00,15.92,7.46,21.89,-0.96,0.15,8.00,19.12,11.27,24.51,-0.93,0.16,9.00,19.12,10.78,25.49,-0.88,0.16,8.00,19.90,11.65,26.70,-0.93,0.16,10.00,18.45,10.68,27.18,-0.97,0.15,10.00,17.22,8.13,25.36,-0.93,0.15,10.00,19.14,10.05,26.32,-0.89,0.15,10.00,21.80,11.37,28.91,-0.78,0.17,11.00,24.64,14.22,32.70,-0.75,0.17,11.00,24.64,15.64,34.60,-0.62,0.17,11.00,30.29,18.75,40.87,-0.55,0.16,11.00,32.38,23.81,43.81,-0.42,0.16,11.00,37.62,26.67,47.14,-0.41,0.17,10.00,35.24,27.62,47.14,-0.25,0.16,10.00,43.81,32.86,54.29,-0.30,0.16,11.00,42.38,30.48,50.48,-0.38,0.17,10.00,37.62,30.00,48.10,-0.27,0.16,10.00,43.33,32.86,51.90,-0.15,0.17,10.00,46.23,35.85,55.66
Cameroon,CMR,-1.12,0.31,4.00,13.04,4.89,25.00,-0.91,0.33,4.00,17.93,8.15,35.33,-0.82,0.31,4.00,20.65,9.78,38.59,-1.02,0.23,5.00,15.68,5.95,28.11,-0.97,0.19,6.00,18.38,8.65,25.41,-0.72,0.18,7.00,23.38,16.42,37.31,-0.91,0.15,9.00,20.59,11.76,25.00,-0.84,0.16,10.00,21.08,14.22,29.41,-0.84,0.16,10.00,20.87,15.53,28.64,-0.82,0.16,10.00,20.87,16.50,30.10,-0.77,0.15,10.00,24.40,15.31,33.01,-0.75,0.15,10.00,25.36,18.18,33.01,-0.81,0.15,11.00,23.22,13.27,32.23,-0.93,0.17,11.00,20.85,9.95,28.44,-0.96,0.17,11.00,18.01,9.48,26.54,-0.90,0.17,11.00,19.23,9.62,30.29,-0.94,0.16,11.00,16.19,10.00,27.14,-0.81,0.16,11.00,22.38,12.38,30.48,-0.85,0.16,11.00,18.57,10.48,29.52,-0.81,0.16,11.00,19.52,11.43,30.48,-0.85,0.16,11.00,17.14,10.48,30.48,-0.83,0.17,10.00,20.48,10.95,31.43,-0.93,0.16,10.00,16.67,9.52,27.14,-0.90,0.17,10.00,19.34,11.32,29.25
"Congo, Rep.",COG,-1.23,0.35,3.00,10.87,2.17,24.46,-1.30,0.38,3.00,10.33,2.72,24.46,-1.20,0.36,3.00,12.50,3.26,26.09,-1.00,0.29,3.00,16.76,5.95,35.14,-1.17,0.24,3.00,12.97,3.24,21.62,-1.01,0.21,5.00,16.92,7.46,25.37,-1.30,0.15,8.00,9.80,4.41,15.69,-1.17,0.17,8.00,11.76,5.88,19.61,-1.17,0.16,8.00,11.65,5.83,18.93,-1.22,0.16,8.00,9.22,3.88,17.96,-1.28,0.16,9.00,6.70,4.78,15.31,-1.25,0.15,9.00,8.13,5.74,18.18,-1.26,0.16,9.00,9.00,4.74,17.54,-1.35,0.18,9.00,8.06,2.37,14.22,-1.35,0.18,9.00,7.58,2.37,15.17,-1.22,0.18,9.00,9.13,4.33,17.31,-1.28,0.20,8.00,7.14,4.29,15.71,-1.21,0.20,8.00,10.00,4.76,19.05,-1.42,0.20,8.00,6.67,3.33,11.90,-1.41,0.20,8.00,6.67,3.33,11.43,-1.29,0.20,8.00,8.57,4.76,13.81,-1.45,0.22,7.00,7.14,3.81,10.95,-1.23,0.20,8.00,9.52,4.76,17.14,-1.26,0.20,8.00,9.43,4.25,17.45
Cook Islands,COK,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.56,0.89,1.00,66.18,20.59,100.00,0.59,0.78,1.00,67.16,23.53,99.51,0.14,0.67,1.00,57.77,17.96,86.41,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-0.94,0.53,1.00,19.14,2.39,51.67,-1.24,0.49,1.00,8.61,1.91,36.36,-1.17,0.52,1.00,10.90,1.90,40.28,-1.14,0.56,1.00,11.85,1.42,45.50,-1.16,0.56,1.00,11.85,1.42,45.02,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-0.08,0.61,1.00,49.53,13.68,77.36
Colombia,COL,-0.11,0.28,6.00,51.09,25.54,64.13,-0.17,0.27,6.00,45.11,26.09,61.41,0.09,0.23,6.00,58.15,39.13,65.22,-0.02,0.21,7.00,55.14,40.54,62.70,-0.13,0.18,7.00,52.43,37.84,58.92,-0.09,0.19,8.00,51.74,38.81,61.19,-0.02,0.16,8.00,53.43,46.08,59.31,0.11,0.19,9.00,55.39,49.51,64.22,0.28,0.20,9.00,60.19,51.94,67.96,0.27,0.19,9.00,59.71,53.40,66.99,0.09,0.19,9.00,55.02,45.93,62.68,0.16,0.19,9.00,55.50,47.37,65.55,0.28,0.18,10.00,60.19,52.61,69.19,0.33,0.19,10.00,61.61,52.61,71.56,0.34,0.19,10.00,63.03,53.55,72.04,0.44,0.20,10.00,66.83,55.29,75.96,0.41,0.19,10.00,66.19,55.71,73.81,0.34,0.20,10.00,65.71,53.81,71.43,0.26,0.19,10.00,63.81,50.48,71.43,0.22,0.19,10.00,62.38,49.52,70.48,0.32,0.19,10.00,63.81,54.76,73.33,0.23,0.20,9.00,59.05,48.10,71.90,0.20,0.21,8.00,60.00,46.19,70.95,0.14,0.21,8.00,56.60,43.87,67.92
