Bahrain,BHR,-0.31,0.37,4.00,36.70,20.74,57.45,-0.16,0.35,4.00,38.30,21.81,61.17,0.06,0.34,4.00,48.15,30.16,69.84,0.29,0.32,4.00,54.50,39.15,73.02,0.48,0.30,4.00,62.31,41.21,80.90,0.31,0.29,6.00,55.83,39.32,73.79,0.01,0.28,6.00,46.60,33.50,61.17,-0.37,0.27,6.00,32.37,22.22,48.79,-0.25,0.26,6.00,36.71,23.67,48.79,-0.24,0.26,6.00,36.54,24.04,50.96,-0.14,0.25,7.00,40.76,27.01,52.61,-0.49,0.24,7.00,28.91,19.43,42.18,-0.95,0.24,7.00,18.96,10.43,29.38,-1.13,0.23,7.00,15.64,7.11,21.80,-1.34,0.23,7.00,9.00,6.16,18.01,-0.91,0.20,7.00,15.71,9.05,25.71,-1.07,0.20,7.00,12.86,9.05,21.90,-0.79,0.21,7.00,19.52,11.43,28.57,-0.96,0.22,6.00,14.29,9.05,25.24,-0.85,0.22,6.00,17.45,11.32,28.77,-0.63,0.23,6.00,23.11,13.68,38.68,-0.61,0.24,5.00,24.06,14.62,39.62,-0.52,0.23,6.00,27.83,17.92,41.51,-0.41,0.23,6.00,30.66,18.40,45.75
"Bahamas, The",BHS,1.07,0.42,3.00,85.64,59.57,100.00,1.09,0.38,3.00,85.11,63.30,100.00,1.28,0.40,3.00,91.01,69.84,100.00,0.96,0.39,3.00,82.54,56.61,97.88,0.83,0.33,3.00,72.36,54.27,96.98,0.89,0.32,4.00,77.18,58.74,98.06,0.94,0.31,4.00,78.16,58.74,99.51,0.81,0.32,4.00,72.46,54.11,96.14,0.73,0.29,4.00,71.01,52.17,92.75,0.77,0.29,4.00,72.60,55.29,94.71,0.86,0.27,5.00,77.25,60.66,94.31,0.99,0.27,5.00,83.89,64.45,97.16,1.10,0.26,5.00,88.15,68.72,99.05,1.18,0.24,5.00,90.52,72.51,99.53,1.13,0.25,5.00,90.52,67.77,99.53,0.96,0.21,5.00,79.05,66.67,97.14,0.89,0.21,6.00,77.14,62.38,93.81,0.96,0.21,6.00,80.00,65.71,94.29,0.98,0.22,6.00,81.43,66.67,95.71,0.85,0.22,6.00,76.42,63.21,91.51,0.80,0.23,6.00,74.06,59.43,92.45,0.83,0.23,6.00,73.11,60.38,92.92,0.85,0.23,6.00,76.42,59.43,93.87,0.88,0.23,6.00,79.25,61.79,95.28
Bosnia and Herzegovina,BIH,-0.59,0.41,3.00,25.53,9.57,49.47,-0.59,0.38,3.00,27.66,12.23,46.81,-0.53,0.38,3.00,30.16,13.76,49.21,-0.16,0.34,3.00,40.74,25.40,60.32,-0.41,0.32,3.00,32.66,21.11,47.24,0.02,0.30,5.00,45.63,29.61,63.11,-0.50,0.29,5.00,30.58,18.45,44.66,-0.44,0.28,5.00,31.40,19.32,46.38,-0.63,0.28,5.00,25.12,15.94,38.16,-0.54,0.28,5.00,27.88,15.87,40.87,-0.67,0.28,5.00,23.70,14.69,38.39,-0.69,0.27,5.00,24.64,13.27,36.02,-0.82,0.27,4.00,20.38,12.32,34.12,-0.54,0.23,7.00,28.44,18.48,39.81,-0.40,0.24,7.00,34.12,20.38,45.50,-0.02,0.21,6.00,44.76,30.48,58.10,-0.40,0.21,7.00,31.90,21.43,43.33,-0.40,0.21,7.00,30.95,20.00,45.24,-0.35,0.22,7.00,32.38,20.48,46.19,-0.40,0.22,7.00,31.60,19.34,44.81,-0.42,0.24,6.00,29.25,18.87,45.75,-0.45,0.24,5.00,30.66,17.92,46.23,-0.42,0.24,5.00,30.66,18.40,46.23,-0.44,0.24,5.00,29.72,16.98,44.34
Belarus,BLR,0.09,0.47,2.00,50.00,22.87,74.47,0.11,0.38,3.00,50.00,29.79,72.34,0.14,0.40,3.00,51.85,30.16,74.07,0.30,0.39,3.00,56.61,31.75,82.01,0.69,0.33,3.00,69.85,49.25,94.47,0.16,0.32,4.00,51.46,32.52,69.42,0.36,0.31,4.00,56.31,41.26,74.27,0.15,0.28,5.00,50.24,34.30,64.25,0.34,0.27,5.00,55.07,39.61,73.43,0.52,0.27,5.00,62.50,47.12,80.29,0.49,0.27,5.00,62.56,45.97,80.57,-0.09,0.27,5.00,42.18,26.54,56.40,-0.09,0.26,5.00,42.18,29.86,58.29,0.07,0.23,7.00,47.87,36.97,60.66,0.01,0.23,7.00,46.45,35.55,60.19,0.18,0.20,7.00,52.86,39.52,62.38,0.11,0.20,7.00,51.90,38.57,60.48,0.14,0.21,7.00,51.43,38.10,61.90,-0.06,0.22,7.00,43.33,30.00,58.57,0.35,0.22,7.00,57.55,46.23,69.34,0.34,0.23,7.00,58.49,45.75,70.75,-0.89,0.23,6.00,16.98,10.85,26.42,-0.75,0.23,6.00,19.81,11.32,33.02,-0.79,0.23,6.00,18.40,12.74,30.19
Belize,BLZ,0.56,0.47,2.00,64.36,38.83,94.15,0.60,0.44,2.00,67.02,40.43,93.09,0.18,0.45,2.00,53.97,29.10,78.84,0.42,0.44,2.00,62.43,33.86,86.77,0.49,0.35,2.00,63.32,40.20,84.42,0.40,0.33,3.00,60.19,39.81,78.64,0.10,0.33,3.00,49.03,33.50,66.02,0.08,0.29,4.00,48.79,31.40,63.29,0.19,0.28,4.00,49.76,35.75,69.08,0.19,0.29,4.00,50.96,35.10,69.23,0.03,0.29,4.00,45.50,30.33,63.03,0.07,0.28,4.00,49.29,32.23,64.45,0.15,0.27,5.00,51.66,36.49,63.98,0.18,0.25,4.00,52.13,37.91,64.93,0.18,0.26,4.00,53.55,37.44,65.40,0.05,0.21,5.00,48.10,35.24,59.05,0.04,0.22,5.00,49.05,34.76,59.05,0.05,0.22,5.00,48.57,34.29,60.95,0.03,0.23,5.00,48.10,32.38,61.90,0.00,0.23,5.00,46.23,33.02,58.49,0.06,0.24,5.00,50.47,33.49,60.85,0.52,0.24,5.00,63.68,51.42,77.83,0.27,0.24,5.00,55.19,42.45,67.45,0.43,0.24,5.00,59.43,47.64,75.00
Bermuda,BMU,0.72,0.61,1.00,70.74,37.23,100.00,0.73,0.58,1.00,72.34,35.64,100.00,0.71,0.60,1.00,72.49,35.45,98.94,0.79,0.52,1.00,73.02,45.50,99.47,0.85,0.41,1.00,73.87,49.75,98.99,0.89,0.37,2.00,77.67,54.85,99.03,0.82,0.37,2.00,72.33,54.37,99.03,0.77,0.36,2.00,70.05,51.21,98.55,0.77,0.33,2.00,72.95,50.72,96.62,0.80,0.33,2.00,73.08,52.88,98.56,0.69,0.35,2.00,70.62,48.34,92.89,0.91,0.35,2.00,79.62,55.45,99.05,0.96,0.34,2.00,80.09,60.66,99.05,0.98,0.30,2.00,81.52,62.09,98.58,0.97,0.32,2.00,81.04,61.61,99.05,0.91,0.26,2.00,77.62,61.90,97.14,0.96,0.27,2.00,81.43,61.43,97.62,0.98,0.27,2.00,82.86,63.81,98.10,0.98,0.28,2.00,82.86,64.29,97.62,1.13,0.27,2.00,90.09,67.92,99.53,1.05,0.31,2.00,86.79,65.57,97.64,1.00,0.31,2.00,83.02,62.26,98.58,1.00,0.32,2.00,83.96,59.91,97.64,1.03,0.31,2.00,84.43,62.26,97.64
Bolivia,BOL,-0.13,0.37,4.00,43.09,22.87,61.70,-0.24,0.35,4.00,35.64,19.15,58.51,-0.24,0.34,4.00,37.04,21.16,59.79,-0.29,0.30,5.00,34.92,21.69,51.85,-0.83,0.29,5.00,22.61,11.06,35.18,-0.68,0.29,6.00,23.79,15.53,38.35,-0.97,0.28,6.00,19.42,9.71,29.13,-0.80,0.25,7.00,22.71,13.53,31.40,-0.85,0.24,7.00,19.32,11.11,29.47,-0.70,0.25,7.00,23.56,14.42,35.10,-0.51,0.25,7.00,28.44,18.96,41.23,-0.42,0.24,7.00,32.23,21.33,45.02,-0.42,0.24,8.00,33.18,20.38,46.45,-0.46,0.22,8.00,33.18,20.38,41.23,-0.33,0.23,8.00,36.49,23.22,46.92,-0.33,0.20,8.00,33.33,23.81,45.24,-0.27,0.20,8.00,36.67,25.71,49.05,-0.25,0.21,8.00,36.67,24.76,49.05,-0.28,0.22,7.00,34.76,24.29,49.05,-0.29,0.22,7.00,36.79,23.58,50.00,-0.73,0.23,7.00,20.28,12.74,31.60,-0.45,0.23,6.00,29.25,18.40,44.81,-0.28,0.23,6.00,36.79,23.58,50.94,-0.28,0.23,6.00,36.32,22.17,49.53
Brazil,BRA,-0.22,0.37,4.00,38.83,20.74,60.11,-0.34,0.35,4.00,34.04,18.62,54.79,0.18,0.31,5.00,53.44,33.86,70.90,0.33,0.29,6.00,57.14,42.33,73.02,0.00,0.28,6.00,41.71,29.65,60.30,-0.28,0.28,7.00,36.41,22.33,52.43,-0.26,0.27,7.00,37.86,25.73,52.43,-0.29,0.25,8.00,35.27,25.12,48.79,-0.36,0.24,8.00,32.85,22.22,43.00,-0.31,0.24,8.00,33.65,23.08,47.12,0.16,0.24,8.00,51.18,36.97,63.98,0.01,0.24,8.00,45.97,33.18,59.72,-0.13,0.24,9.00,41.23,29.86,54.98,0.05,0.22,9.00,46.45,36.97,59.72,-0.26,0.23,9.00,36.97,25.12,50.24,-0.07,0.19,9.00,42.86,30.00,55.24,-0.33,0.20,9.00,34.29,22.86,45.24,-0.38,0.20,9.00,31.90,21.43,45.24,-0.48,0.20,10.00,29.52,17.14,39.52,-0.46,0.20,10.00,29.25,19.34,41.51,-0.71,0.21,9.00,20.75,12.74,31.13,-0.45,0.21,8.00,31.13,19.34,44.34,-0.42,0.21,8.00,31.13,18.87,45.75,-0.33,0.22,8.00,33.96,21.70,46.70
Barbados,BRB,1.05,0.47,2.00,84.57,56.91,100.00,1.08,0.44,2.00,84.57,60.11,100.00,1.15,0.45,2.00,85.19,62.43,100.00,1.10,0.44,2.00,86.24,59.79,100.00,0.92,0.35,2.00,78.89,58.29,98.49,1.09,0.33,3.00,85.92,63.11,100.00,1.11,0.33,3.00,86.89,64.56,100.00,0.91,0.32,4.00,77.29,56.52,99.03,1.04,0.30,4.00,85.02,63.29,100.00,1.07,0.30,4.00,86.54,66.35,100.00,1.05,0.28,5.00,85.78,65.40,99.05,1.06,0.27,5.00,87.20,66.82,99.05,1.25,0.27,5.00,93.36,70.62,99.53,1.19,0.25,5.00,91.00,72.04,99.53,1.27,0.25,5.00,92.42,72.51,99.53,1.28,0.21,5.00,95.71,78.10,99.52,1.12,0.22,5.00,89.05,70.48,98.57,0.96,0.22,6.00,80.48,65.24,94.76,0.95,0.23,5.00,79.52,65.24,95.24,0.90,0.23,5.00,78.77,64.15,93.87,1.03,0.24,5.00,84.91,67.45,97.17,1.12,0.24,5.00,88.68,71.23,98.58,1.12,0.24,5.00,90.09,68.87,97.64,1.15,0.24,5.00,91.51,72.64,97.64
Brunei Darussalam,BRN,1.24,0.42,3.00,90.43,63.30,100.00,1.11,0.38,3.00,86.17,63.30,100.00,1.30,0.40,3.00,92.59,70.37,100.00,1.16,0.39,3.00,87.30,65.61,100.00,1.14,0.33,3.00,86.93,65.83,99.50,1.37,0.35,3.00,97.57,74.27,100.00,1.21,0.35,3.00,91.26,66.02,100.00,1.12,0.36,3.00,89.86,62.80,100.00,1.11,0.32,3.00,90.82,66.18,100.00,1.13,0.28,5.00,89.90,69.23,100.00,1.39,0.26,6.00,97.16,82.46,100.00,1.28,0.26,6.00,93.36,75.83,100.00,1.09,0.25,6.00,86.73,68.25,99.05,0.91,0.24,6.00,75.36,63.03,94.79,1.07,0.24,6.00,87.20,67.77,98.58,1.26,0.21,5.00,94.76,77.62,99.52,1.23,0.21,5.00,93.81,76.19,99.52,1.14,0.21,7.00,90.95,72.38,99.05,1.15,0.22,7.00,89.52,73.81,98.10,1.24,0.22,7.00,92.45,76.89,99.53,1.11,0.23,6.00,88.68,70.75,97.64,1.19,0.24,5.00,92.92,72.64,98.58,1.17,0.24,5.00,91.51,71.70,98.11,1.26,0.24,5.00,94.81,76.42,100.00
Bhutan,BTN,0.72,0.47,2.00,71.28,45.74,99.47,0.54,0.44,2.00,65.43,36.70,93.09,0.49,0.45,2.00,68.25,35.45,90.48,0.69,0.44,2.00,69.84,46.03,94.71,0.92,0.35,2.00,78.89,58.29,98.49,1.17,0.33,3.00,91.75,66.50,100.00,1.28,0.33,3.00,92.72,67.48,100.00,1.26,0.33,3.00,94.69,68.12,100.00,0.57,0.31,3.00,65.70,44.93,85.51,0.72,0.31,3.00,70.19,52.88,94.71,0.80,0.29,4.00,73.93,53.55,93.36,0.74,0.28,4.00,71.56,54.03,90.52,0.83,0.27,4.00,71.09,59.24,93.36,0.78,0.25,4.00,71.56,57.82,91.47,0.78,0.25,5.00,70.14,60.19,91.47,1.07,0.21,5.00,88.57,69.52,98.10,0.96,0.22,5.00,80.48,64.76,95.71,1.11,0.22,5.00,89.52,71.43,98.57,1.10,0.23,5.00,88.10,70.48,98.10,1.08,0.23,4.00,88.21,68.87,98.11,1.07,0.25,4.00,87.74,67.92,97.17,1.01,0.25,4.00,84.91,66.51,96.70,0.80,0.25,4.00,72.64,58.02,93.87,0.86,0.25,4.00,76.89,59.91,95.28
South Sudan,SSD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-1.43,0.42,2.00,7.11,2.37,23.22,-1.16,0.39,3.00,14.22,5.21,29.86,-1.73,0.37,3.00,5.69,1.90,14.69,-2.65,0.23,4.00,1.43,0.00,4.29,-2.37,0.24,4.00,1.90,0.00,4.76,-2.41,0.25,4.00,1.90,0.00,4.29,-2.45,0.26,4.00,1.43,0.00,3.81,-2.43,0.25,4.00,2.36,0.00,5.19,-2.52,0.27,4.00,2.36,0.00,4.25,-2.19,0.28,3.00,3.30,0.47,6.13,-2.29,0.28,3.00,3.30,0.00,5.66,-2.21,0.28,3.00,3.30,0.00,8.02
Botswana,BWA,1.02,0.37,4.00,79.79,60.11,100.00,0.96,0.35,4.00,80.32,60.64,99.47,1.07,0.34,4.00,82.01,68.25,98.94,0.87,0.30,5.00,76.72,59.79,94.71,1.10,0.29,5.00,85.43,66.33,99.50,0.92,0.31,5.00,78.16,60.68,98.06,1.06,0.28,6.00,83.01,65.53,99.51,1.02,0.25,7.00,81.64,64.25,99.03,1.06,0.24,7.00,85.51,69.08,98.55,1.03,0.25,7.00,84.62,68.27,99.04,0.95,0.25,7.00,82.94,63.98,94.79,0.99,0.24,7.00,83.41,65.88,95.73,1.06,0.24,7.00,85.31,68.25,98.10,1.10,0.22,8.00,88.63,69.67,98.58,1.10,0.23,8.00,88.15,67.77,98.58,1.01,0.20,8.00,84.29,69.05,97.14,1.03,0.20,8.00,86.19,68.10,96.19,0.98,0.21,7.00,84.29,65.71,95.24,1.01,0.22,7.00,84.76,69.05,96.19,0.96,0.22,7.00,82.08,65.09,93.87,1.10,0.23,6.00,88.21,70.75,97.17,1.01,0.23,6.00,83.96,66.98,96.70,1.04,0.23,7.00,86.79,67.45,96.70,1.08,0.23,7.00,87.26,70.28,96.70
Central African Republic,CAF,-1.21,0.47,2.00,11.70,3.72,31.91,-1.14,0.44,2.00,13.83,5.32,30.32,-1.12,0.45,2.00,15.34,5.29,32.80,-1.73,0.44,2.00,4.76,0.00,19.05,-1.54,0.35,2.00,8.04,2.51,20.10,-1.42,0.33,3.00,8.74,3.88,18.93,-1.43,0.33,3.00,9.71,2.91,21.36,-1.85,0.33,3.00,5.31,0.48,12.56,-1.86,0.31,3.00,5.80,2.42,10.14,-1.84,0.31,3.00,6.25,1.92,10.58,-1.90,0.27,5.00,4.74,1.42,9.00,-2.02,0.26,5.00,3.79,1.42,7.11,-1.79,0.26,5.00,5.21,1.90,9.95,-1.85,0.24,5.00,5.21,2.37,7.11,-2.15,0.25,5.00,3.32,0.95,5.21,-2.70,0.21,5.00,0.48,0.00,4.29,-1.89,0.22,5.00,6.67,2.38,7.62,-1.78,0.22,5.00,7.14,4.29,9.05,-1.99,0.23,5.00,5.24,1.90,8.57,-2.17,0.23,5.00,3.77,0.94,6.60,-2.14,0.24,5.00,4.25,1.89,5.19,-2.24,0.25,4.00,2.83,0.94,4.72,-2.13,0.25,4.00,4.25,0.94,6.13,-2.16,0.25,4.00,4.25,0.00,8.02
Canada,CAN,1.23,0.37,4.00,89.89,67.55,100.00,0.95,0.35,4.00,79.26,60.64,99.47,1.17,0.31,5.00,87.30,70.37,98.94,1.22,0.29,6.00,89.95,71.43,99.47,1.05,0.28,6.00,84.42,65.33,98.49,0.88,0.28,7.00,76.21,60.68,95.63,0.83,0.27,7.00,72.82,56.80,91.75,1.03,0.25,8.00,82.61,65.22,99.03,1.01,0.24,8.00,82.13,67.15,98.55,1.04,0.24,8.00,85.10,69.23,99.04,1.13,0.24,8.00,89.10,72.04,99.53,0.94,0.24,8.00,81.04,64.45,94.79,1.08,0.24,9.00,86.26,68.72,98.10,1.11,0.22,9.00,89.10,70.14,98.58,1.06,0.23,9.00,86.73,67.77,98.10,1.18,0.19,9.00,92.86,76.67,99.52,1.26,0.20,9.00,94.29,79.52,99.52,1.24,0.20,9.00,92.86,78.57,99.52,1.09,0.21,9.00,87.14,70.95,97.62,0.96,0.21,9.00,82.55,65.09,93.87,0.99,0.22,8.00,81.60,66.98,95.75,1.01,0.23,7.00,84.43,67.45,96.70,0.96,0.23,7.00,83.02,64.62,95.75,0.77,0.23,7.00,73.58,58.02,91.04
Switzerland,CHE,1.46,0.37,4.00,99.47,73.94,100.00,1.44,0.35,4.00,98.40,76.06,100.00,1.58,0.31,5.00,97.35,81.48,100.00,1.54,0.29,6.00,97.35,83.60,100.00,1.25,0.28,6.00,94.97,71.86,100.00,1.23,0.28,7.00,93.20,73.30,100.00,1.20,0.27,7.00,90.78,68.45,100.00,1.27,0.26,7.00,95.17,72.46,100.00,1.23,0.26,7.00,94.20,75.85,100.00,1.22,0.26,7.00,94.71,73.08,100.00,1.31,0.24,8.00,94.79,79.15,100.00,1.26,0.24,8.00,92.42,76.78,100.00,1.30,0.24,8.00,94.31,72.99,99.53,1.42,0.22,8.00,98.58,86.26,99.53,1.40,0.23,8.00,98.10,82.94,99.53,1.40,0.20,8.00,98.10,89.05,99.52,1.33,0.20,8.00,96.19,84.29,99.52,1.29,0.21,8.00,94.29,79.05,99.52,1.24,0.21,8.00,93.81,77.62,98.57,1.32,0.21,8.00,94.81,83.02,99.53,1.31,0.23,7.00,94.34,78.30,99.53,1.18,0.23,6.00,91.51,72.64,98.58,1.12,0.23,6.00,89.62,69.81,97.64,1.16,0.23,6.00,92.45,73.58,97.64
Chile,CHL,0.68,0.37,4.00,68.62,49.47,92.02,0.03,0.35,4.00,46.28,29.26,67.55,0.49,0.31,5.00,66.14,42.86,80.42,1.09,0.29,6.00,84.66,68.25,97.35,0.76,0.28,6.00,70.85,54.77,94.47,0.69,0.28,7.00,70.87,53.40,89.81,0.84,0.27,7.00,74.27,57.28,92.72,0.61,0.25,8.00,64.73,52.66,81.16,0.41,0.24,8.00,58.94,43.00,74.88,0.43,0.24,8.00,58.65,44.71,75.00,0.60,0.24,8.00,66.82,51.18,84.83,0.68,0.24,8.00,68.25,54.03,87.20,0.45,0.24,9.00,62.09,48.82,71.56,0.33,0.22,9.00,57.82,42.65,69.19,0.36,0.23,9.00,59.72,45.50,67.77,0.45,0.19,9.00,60.00,50.48,70.95,0.42,0.20,9.00,60.00,51.43,69.52,0.40,0.20,9.00,60.48,49.05,70.95,0.41,0.21,9.00,61.90,48.57,71.43,0.41,0.21,9.00,60.85,50.00,70.75,-0.02,0.22,8.00,46.70,31.13,58.49,0.04,0.23,7.00,48.58,34.91,58.96,0.16,0.23,7.00,51.42,39.15,62.74,0.12,0.23,7.00,51.42,36.79,60.85
China,CHN,-0.10,0.37,4.00,44.15,22.87,62.23,-0.39,0.35,4.00,32.98,17.55,52.13,-0.21,0.31,5.00,38.10,24.87,58.73,-0.33,0.29,6.00,32.28,21.69,49.21,-0.57,0.28,6.00,28.64,19.10,40.20,-0.39,0.28,7.00,31.55,19.90,47.57,-0.50,0.27,7.00,30.10,19.42,43.69,-0.54,0.25,8.00,27.54,17.87,41.06,-0.50,0.24,8.00,28.02,18.36,39.61,-0.49,0.24,8.00,29.33,17.31,40.38,-0.45,0.24,8.00,30.81,19.91,41.71,-0.66,0.24,8.00,25.59,14.22,36.02,-0.60,0.24,9.00,27.96,17.06,39.34,-0.54,0.22,9.00,27.96,19.43,39.81,-0.54,0.23,9.00,26.54,18.01,39.81,-0.52,0.19,9.00,28.57,18.57,36.67,-0.55,0.20,9.00,26.19,19.05,38.57,-0.50,0.20,9.00,26.67,17.14,39.05,-0.23,0.21,9.00,38.57,25.71,51.43,-0.30,0.21,9.00,36.32,23.58,49.53,-0.26,0.22,8.00,38.21,22.64,51.42,-0.47,0.21,8.00,27.83,18.40,43.40,-0.52,0.21,8.00,28.30,17.92,41.51,-0.44,0.22,8.00,28.30,17.92,42.92
Côte d'Ivoire,CIV,0.03,0.37,4.00,48.94,26.06,68.09,-0.20,0.35,4.00,36.17,19.68,60.11,-1.24,0.34,4.00,13.23,5.29,25.93,-1.92,0.32,4.00,3.17,0.00,12.70,-1.80,0.30,4.00,5.03,1.01,11.06,-2.11,0.29,5.00,3.40,0.49,5.34,-2.26,0.29,5.00,0.97,0.00,4.85,-1.86,0.26,6.00,4.83,0.48,8.70,-1.84,0.25,6.00,6.28,2.42,9.18,-1.80,0.25,7.00,7.21,1.92,9.62,-1.32,0.25,7.00,11.37,6.16,18.96,-1.58,0.24,7.00,8.06,3.79,12.32,-1.41,0.24,7.00,8.53,4.74,16.59,-1.26,0.22,8.00,11.85,6.16,19.43,-1.05,0.23,8.00,17.06,7.58,23.22,-1.04,0.20,8.00,13.33,8.10,21.43,-0.84,0.20,8.00,20.00,10.48,28.10,-0.91,0.21,8.00,15.71,10.95,24.76,-1.09,0.22,7.00,12.86,8.57,19.52,-0.90,0.22,7.00,15.57,11.32,26.42,-1.04,0.23,7.00,13.68,8.96,22.64,-1.03,0.23,6.00,13.68,10.38,23.11,-0.72,0.23,6.00,20.75,13.21,34.91,-0.52,0.23,6.00,26.42,16.04,41.98
Cameroon,CMR,-0.96,0.37,4.00,19.68,7.45,34.57,-0.78,0.35,4.00,19.68,10.64,35.64,-0.56,0.34,4.00,29.10,14.81,43.39,-0.68,0.32,4.00,26.46,15.87,41.27,-0.43,0.29,5.00,31.16,21.61,43.22,-0.36,0.29,5.00,32.52,20.39,48.54,-0.18,0.28,6.00,40.29,26.21,55.34,-0.24,0.25,7.00,38.65,26.09,51.21,-0.33,0.24,7.00,34.30,23.67,44.93,-0.55,0.25,7.00,26.92,15.87,38.94,-0.47,0.25,7.00,29.86,19.91,41.71,-0.74,0.24,7.00,22.75,13.27,33.18,-0.66,0.24,8.00,26.54,15.64,38.39,-0.59,0.22,8.00,26.54,18.01,38.39,-0.53,0.23,8.00,27.49,18.48,40.76,-1.06,0.20,8.00,12.38,8.10,20.95,-0.99,0.20,8.00,15.24,9.05,22.38,-1.06,0.21,8.00,13.33,9.05,20.95,-1.09,0.21,8.00,12.38,8.57,19.52,-1.40,0.21,8.00,8.49,6.60,13.21,-1.56,0.23,7.00,8.02,4.25,11.79,-1.51,0.23,6.00,9.91,4.25,12.74,-1.39,0.23,6.00,9.91,6.13,15.09,-1.35,0.23,6.00,10.85,8.02,14.15
"Congo, Rep.",COG,-1.22,0.42,3.00,11.17,3.72,27.13,-1.50,0.38,3.00,9.04,3.72,18.62,-0.92,0.40,3.00,19.58,8.99,35.45,-1.59,0.39,3.00,8.47,0.53,20.11,-1.17,0.33,3.00,15.08,5.53,27.64,-1.19,0.32,4.00,14.08,4.85,23.79,-1.17,0.29,5.00,15.05,6.31,25.73,-0.92,0.28,5.00,18.84,11.59,30.43,-0.77,0.27,5.00,21.26,12.56,33.82,-0.72,0.27,5.00,21.63,13.46,35.10,-0.25,0.25,6.00,36.49,24.17,50.71,-0.32,0.25,6.00,34.12,23.22,50.24,-0.35,0.25,6.00,35.07,21.33,48.82,-0.49,0.23,6.00,31.28,19.91,40.76,-0.48,0.24,6.00,29.86,19.43,42.65,-0.36,0.21,6.00,30.95,22.86,44.29,-0.53,0.21,6.00,26.67,19.05,40.48,-0.52,0.21,6.00,25.71,16.19,39.05,-0.53,0.22,6.00,27.62,16.19,39.52,-0.35,0.22,6.00,34.43,20.75,48.11,-0.30,0.23,6.00,34.43,22.64,50.94,-0.21,0.24,5.00,40.09,24.06,52.83,-0.23,0.23,6.00,38.68,24.06,50.94,-0.02,0.23,6.00,46.23,30.66,56.60
Cook Islands,COK,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1.14,0.72,1.00,90.05,42.18,100.00,1.32,0.61,1.00,94.79,54.50,100.00,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.93,0.65,1.00,80.19,41.04,100.00,1.12,0.50,1.00,89.15,58.02,100.00,1.15,0.48,1.00,90.09,57.55,100.00,1.15,0.49,1.00,91.04,57.08,100.00,1.16,0.60,1.00,91.98,51.89,100.00
Colombia,COL,-1.65,0.37,4.00,6.91,2.13,17.02,-1.79,0.35,4.00,6.38,0.53,12.23,-1.61,0.31,5.00,8.47,1.06,15.87,-1.96,0.29,6.00,2.65,0.00,10.58,-2.38,0.28,6.00,1.01,0.00,4.02,-2.27,0.28,7.00,2.43,0.49,4.37,-2.06,0.27,7.00,2.91,0.49,6.31,-1.90,0.25,8.00,3.86,0.48,8.70,-1.81,0.24,8.00,6.76,2.42,9.18,-1.85,0.24,8.00,5.77,1.92,9.62,-1.83,0.24,8.00,5.21,1.90,9.00,-1.54,0.24,8.00,8.53,4.27,13.27,-1.28,0.24,9.00,12.32,5.21,19.43,-1.40,0.22,9.00,8.06,5.21,16.59,-1.29,0.23,9.00,10.43,6.64,18.01,-1.11,0.19,9.00,10.95,8.10,19.52,-1.07,0.20,9.00,12.38,9.05,21.43,-0.89,0.20,9.00,16.19,10.95,24.76,-0.78,0.21,9.00,18.10,11.90,29.52,-0.81,0.21,9.00,18.87,12.26,28.77,-0.98,0.22,8.00,14.62,10.38,23.58,-0.70,0.23,7.00,21.23,12.74,34.91,-0.95,0.23,7.00,16.51,10.38,24.53,-0.64,0.23,7.00,23.11,14.15,36.32
