Bahrain,BHR,0.33,0.31,3.00,63.98,50.54,77.42,0.25,0.26,3.00,62.03,50.80,74.33,0.36,0.28,3.00,66.49,52.66,76.60,0.79,0.21,4.00,77.78,70.90,83.60,0.37,0.23,5.00,69.31,58.73,74.07,0.44,0.20,6.00,69.95,58.13,74.88,0.38,0.19,6.00,66.83,57.56,72.20,0.19,0.21,6.00,60.49,52.20,71.71,0.18,0.21,6.00,61.17,51.94,72.33,0.18,0.21,6.00,62.62,53.40,72.82,0.18,0.19,8.00,63.64,54.07,71.29,0.18,0.18,8.00,62.38,53.33,70.95,0.21,0.18,8.00,63.51,55.45,71.09,0.37,0.17,8.00,67.77,60.19,72.51,0.43,0.18,8.00,68.25,61.61,73.93,0.27,0.17,7.00,62.98,56.25,69.71,0.11,0.17,6.00,59.05,51.90,64.76,-0.05,0.17,6.00,55.71,44.76,61.43,-0.17,0.16,5.00,50.48,41.90,57.62,-0.18,0.18,5.00,50.00,38.57,58.10,-0.04,0.19,6.00,53.81,40.95,62.38,-0.09,0.19,5.00,51.90,38.57,60.00,0.14,0.19,7.00,58.57,49.52,65.71,0.14,0.18,7.00,59.43,49.53,66.04
"Bahamas, The",BHS,1.16,0.42,2.00,83.87,69.89,93.01,1.30,0.42,2.00,85.56,72.19,94.12,1.30,0.42,2.00,86.17,71.81,94.15,1.42,0.36,2.00,89.42,77.78,94.71,1.41,0.35,2.00,89.95,76.19,95.24,1.41,0.34,2.00,91.63,78.82,95.07,1.33,0.30,2.00,89.27,78.54,93.17,1.34,0.34,2.00,90.24,76.59,94.63,1.33,0.36,2.00,89.32,74.27,93.69,1.33,0.35,2.00,89.32,73.79,94.66,1.36,0.27,3.00,89.00,78.47,93.78,1.35,0.26,3.00,88.57,79.05,93.33,1.35,0.26,3.00,89.10,78.67,93.36,1.32,0.22,3.00,87.68,78.67,92.89,1.33,0.23,3.00,88.63,80.09,92.89,1.31,0.21,3.00,88.94,79.33,91.83,1.10,0.18,4.00,81.90,76.67,89.52,1.07,0.18,4.00,80.95,75.71,90.00,1.13,0.16,4.00,82.86,80.00,89.05,1.10,0.18,4.00,82.38,79.05,88.57,1.10,0.19,5.00,82.38,78.10,88.57,1.11,0.18,5.00,82.86,79.05,89.52,1.15,0.20,5.00,83.81,79.05,89.52,1.26,0.20,4.00,84.43,79.72,91.51
Bosnia and Herzegovina,BIH,-0.27,0.28,3.00,48.92,28.49,60.75,-0.40,0.19,4.00,42.25,30.48,52.94,-0.60,0.20,5.00,35.11,20.74,46.28,-0.39,0.18,5.00,43.39,31.75,51.85,-0.28,0.18,6.00,47.09,35.45,58.73,-0.32,0.16,9.00,43.84,32.02,54.19,-0.23,0.15,10.00,49.27,40.49,56.10,-0.30,0.15,11.00,45.85,36.10,55.12,-0.37,0.15,12.00,43.69,31.55,53.40,-0.36,0.14,12.00,42.23,33.98,53.40,-0.38,0.15,12.00,43.06,29.67,53.59,-0.34,0.14,12.00,46.19,33.33,54.29,-0.33,0.15,11.00,46.45,33.65,55.45,-0.31,0.13,14.00,46.92,35.55,55.45,-0.24,0.14,13.00,50.71,39.34,57.82,-0.30,0.15,11.00,48.08,35.58,54.81,-0.42,0.15,12.00,42.38,29.52,51.43,-0.49,0.15,11.00,37.14,26.67,47.62,-0.55,0.15,11.00,36.19,22.38,43.81,-0.61,0.15,11.00,30.95,21.90,41.90,-0.65,0.15,11.00,29.05,19.52,40.00,-0.64,0.15,9.00,28.57,20.00,39.52,-0.67,0.17,8.00,28.10,18.57,41.43,-0.68,0.17,8.00,25.94,19.81,39.15
Belarus,BLR,-0.39,0.34,2.00,42.47,17.74,60.75,-0.32,0.23,4.00,47.59,30.48,57.22,-0.50,0.23,5.00,38.83,22.87,52.66,-0.66,0.22,5.00,33.86,15.87,46.03,-0.54,0.20,6.00,37.57,22.22,49.21,-0.76,0.20,6.00,25.62,13.30,38.42,-0.72,0.18,6.00,26.83,16.59,40.98,-0.53,0.17,8.00,36.59,22.44,47.80,-0.57,0.17,8.00,34.47,19.90,48.06,-0.56,0.15,10.00,34.47,21.84,46.12,-0.56,0.16,10.00,33.97,21.05,48.80,-0.63,0.15,10.00,30.95,20.48,42.86,-0.62,0.16,9.00,31.75,20.38,43.13,-0.46,0.13,11.00,39.81,28.91,50.24,-0.40,0.14,11.00,42.18,32.23,53.08,-0.23,0.14,10.00,51.44,39.42,56.25,-0.32,0.14,10.00,46.67,36.19,53.81,-0.22,0.14,10.00,49.05,38.10,56.67,-0.24,0.13,10.00,47.14,40.95,55.24,-0.15,0.14,10.00,50.95,41.43,58.10,0.01,0.15,10.00,56.19,47.14,62.38,-0.13,0.15,8.00,49.52,40.48,58.57,-0.26,0.17,8.00,47.62,33.33,55.24,-0.58,0.16,7.00,31.60,21.23,44.81
Belize,BLZ,-0.03,0.48,1.00,56.45,25.27,76.34,-0.02,0.45,1.00,54.55,28.88,74.33,-0.04,0.46,1.00,56.38,27.66,75.00,-0.07,0.43,1.00,54.50,28.04,74.60,-0.10,0.40,1.00,56.08,26.46,73.02,-0.10,0.37,2.00,53.69,28.57,70.44,-0.20,0.33,2.00,51.22,24.88,64.39,-0.31,0.30,3.00,44.39,22.44,59.51,-0.32,0.28,4.00,48.06,23.30,59.71,-0.30,0.26,5.00,47.09,26.70,61.65,0.04,0.26,5.00,59.33,42.58,70.81,-0.02,0.26,5.00,56.67,40.00,69.05,-0.31,0.24,6.00,48.34,25.59,58.77,-0.03,0.28,5.00,57.82,36.97,69.19,0.02,0.29,5.00,58.77,39.81,69.67,-0.16,0.22,5.00,52.88,36.06,61.06,-0.21,0.22,6.00,51.43,34.29,60.00,-0.23,0.22,5.00,48.57,31.90,59.52,-0.31,0.21,4.00,44.76,29.52,56.19,-0.17,0.20,4.00,50.48,37.14,59.52,-0.19,0.20,4.00,49.05,33.81,58.57,-0.19,0.19,4.00,46.19,33.33,58.57,-0.33,0.23,3.00,44.29,26.19,57.62,-0.24,0.24,3.00,48.11,29.72,59.91
Bermuda,BMU,1.32,0.48,1.00,87.10,72.04,96.77,1.33,0.45,1.00,89.30,72.19,96.79,1.31,0.46,1.00,88.30,70.21,95.21,1.31,0.43,1.00,87.83,73.02,95.24,1.33,0.40,1.00,88.36,74.07,94.71,1.31,0.39,1.00,88.18,73.40,95.07,1.27,0.34,1.00,88.29,72.68,93.17,1.25,0.42,1.00,88.29,72.20,94.63,1.26,0.42,1.00,88.35,72.82,93.69,1.28,0.40,1.00,87.38,73.30,94.66,1.32,0.43,1.00,87.56,72.73,95.22,1.30,0.43,1.00,88.10,71.90,94.76,1.27,0.42,1.00,87.20,71.56,94.79,1.26,0.43,1.00,87.20,71.09,95.26,1.25,0.44,1.00,86.73,69.67,95.73,1.22,0.43,1.00,87.02,69.23,95.19,1.15,0.42,1.00,85.71,65.71,94.29,1.16,0.42,1.00,87.14,65.71,93.81,1.17,0.40,1.00,86.19,67.14,95.24,1.18,0.40,1.00,86.19,68.57,94.76,1.18,0.41,1.00,87.14,66.67,94.76,1.27,0.38,1.00,88.57,73.81,95.24,1.28,0.43,1.00,88.57,70.00,96.67,1.27,0.46,1.00,88.68,68.40,97.17
Bolivia,BOL,-0.82,0.26,4.00,25.27,6.45,41.94,-0.44,0.23,4.00,40.64,27.27,53.48,-0.48,0.22,5.00,40.43,25.00,52.66,-0.94,0.20,6.00,22.22,4.23,34.39,-0.85,0.19,7.00,23.28,7.41,37.04,-0.81,0.17,11.00,24.63,12.81,34.98,-0.74,0.17,12.00,24.39,16.10,40.49,-0.43,0.15,14.00,39.51,28.78,51.71,-0.40,0.16,14.00,39.81,29.13,52.91,-0.53,0.16,14.00,35.92,22.82,48.54,-0.63,0.16,14.00,29.19,20.10,44.50,-0.46,0.16,15.00,40.00,24.76,52.86,-0.57,0.15,16.00,34.12,22.27,45.97,-0.73,0.14,16.00,27.49,17.54,36.97,-0.59,0.14,15.00,35.07,21.80,44.55,-0.63,0.14,14.00,30.29,21.15,42.31,-0.72,0.14,14.00,26.67,17.14,37.14,-0.77,0.14,13.00,24.29,13.33,33.81,-0.70,0.13,12.00,26.67,16.19,40.00,-0.69,0.14,12.00,27.62,17.62,38.57,-0.78,0.14,13.00,25.71,16.19,32.38,-0.84,0.15,11.00,22.38,14.29,28.57,-0.88,0.16,11.00,20.48,12.86,29.52,-0.89,0.16,11.00,20.75,12.74,29.72
Brazil,BRA,-0.02,0.21,6.00,56.99,44.09,63.44,0.04,0.19,6.00,56.15,48.13,64.17,0.01,0.20,6.00,57.98,45.74,63.83,0.08,0.18,7.00,58.73,50.26,68.25,0.09,0.17,8.00,59.79,51.32,68.78,-0.03,0.16,10.00,54.68,46.31,60.59,-0.15,0.16,10.00,51.71,41.95,58.05,-0.12,0.15,14.00,53.17,41.95,59.02,-0.08,0.16,13.00,54.85,46.12,60.68,0.00,0.15,13.00,57.77,49.51,63.11,-0.08,0.16,14.00,56.46,45.45,63.16,0.04,0.16,15.00,60.48,52.38,65.24,0.17,0.15,16.00,63.03,55.45,68.72,-0.05,0.14,15.00,56.40,48.82,62.56,-0.10,0.14,15.00,54.98,46.45,61.61,-0.37,0.14,12.00,44.23,33.17,52.88,-0.46,0.14,12.00,40.95,28.10,50.00,-0.45,0.14,14.00,39.52,30.00,49.05,-0.56,0.12,14.00,35.71,24.29,43.33,-0.48,0.13,14.00,38.10,27.14,45.24,-0.41,0.13,14.00,40.00,30.48,49.05,-0.43,0.14,13.00,37.62,28.10,45.71,-0.50,0.16,12.00,34.29,25.24,48.10,-0.57,0.16,11.00,32.08,21.70,44.81
Barbados,BRB,1.54,0.34,2.00,90.86,81.18,96.77,1.54,0.32,2.00,90.91,81.28,96.79,1.52,0.35,2.00,90.96,81.91,95.74,1.49,0.35,2.00,91.01,80.95,95.77,1.50,0.33,2.00,91.01,80.95,96.83,1.41,0.31,3.00,91.13,81.28,95.07,1.41,0.28,3.00,90.73,80.00,94.15,1.33,0.25,4.00,89.76,78.05,92.20,1.40,0.27,4.00,91.26,78.16,93.20,1.36,0.26,3.00,90.29,78.64,93.20,1.38,0.23,4.00,89.95,80.38,93.30,1.48,0.23,4.00,90.48,81.90,93.81,1.72,0.23,4.00,92.89,88.15,96.68,1.65,0.24,4.00,92.42,84.83,95.73,1.61,0.24,4.00,91.47,82.94,95.73,1.13,0.24,4.00,82.69,75.00,91.35,1.45,0.21,4.00,90.00,81.90,93.33,1.21,0.20,5.00,87.62,79.52,91.90,1.38,0.21,4.00,89.05,81.43,91.90,1.37,0.20,4.00,88.57,81.43,91.90,1.16,0.19,6.00,83.33,78.57,90.00,1.19,0.18,6.00,84.76,80.48,90.95,1.21,0.20,6.00,84.76,80.00,90.95,1.28,0.21,5.00,89.15,80.19,92.92
Brunei Darussalam,BRN,0.48,0.42,2.00,71.51,49.46,83.87,0.35,0.42,2.00,64.71,46.52,81.28,0.35,0.42,2.00,65.43,45.21,82.98,0.29,0.36,2.00,66.14,46.03,80.42,0.29,0.35,2.00,66.14,47.09,79.37,0.39,0.34,2.00,68.97,50.74,81.77,0.24,0.30,2.00,61.46,48.78,72.68,0.20,0.34,2.00,61.95,41.95,74.15,0.21,0.36,2.00,62.14,42.72,76.70,0.48,0.27,4.00,71.36,58.25,78.64,0.98,0.23,5.00,79.90,72.25,88.52,0.86,0.22,5.00,77.62,71.43,84.29,0.85,0.22,5.00,76.78,71.09,83.41,0.54,0.21,4.00,71.09,63.03,76.78,0.64,0.21,4.00,72.51,65.40,80.57,0.53,0.21,3.00,69.71,61.06,78.85,0.53,0.21,3.00,67.62,60.48,77.62,0.53,0.19,5.00,66.67,61.43,77.14,0.68,0.16,5.00,73.33,63.33,80.48,0.76,0.18,5.00,78.57,66.67,81.43,0.77,0.20,5.00,77.62,66.19,81.90,1.25,0.22,3.00,85.71,80.00,92.38,1.22,0.25,3.00,85.24,78.10,92.86,1.17,0.25,3.00,83.96,77.83,91.51
Bhutan,BTN,0.94,0.34,2.00,81.18,66.13,90.32,0.88,0.32,2.00,81.28,64.71,90.37,0.57,0.35,2.00,71.28,57.45,84.04,0.45,0.35,2.00,70.90,51.85,82.54,1.09,0.33,2.00,82.01,73.02,91.01,0.89,0.31,4.00,80.79,68.47,90.64,0.87,0.22,7.00,79.02,70.24,84.39,0.85,0.23,7.00,77.56,71.22,84.88,0.93,0.23,7.00,78.16,72.33,88.83,0.91,0.22,7.00,78.64,72.82,87.38,0.94,0.20,8.00,79.43,72.25,84.69,0.94,0.20,8.00,79.52,72.38,84.29,0.85,0.20,8.00,77.25,71.09,83.41,0.95,0.20,8.00,79.15,72.51,87.20,0.91,0.19,10.00,79.15,71.56,82.94,1.31,0.19,9.00,88.46,80.29,91.83,0.99,0.18,9.00,80.95,73.81,88.57,1.09,0.19,9.00,81.43,75.71,90.00,1.53,0.19,8.00,90.95,87.14,95.24,1.59,0.20,6.00,91.43,87.14,95.71,1.57,0.20,6.00,91.43,88.10,95.71,1.62,0.19,6.00,93.33,88.57,95.24,1.51,0.20,7.00,90.48,84.29,95.71,1.51,0.20,7.00,90.09,83.96,95.75
South Sudan,SSD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-0.82,0.74,1.00,21.43,0.00,69.05,-1.09,0.39,3.00,14.22,0.00,39.34,-1.30,0.22,7.00,5.21,0.00,18.48,-1.40,0.23,8.00,2.84,0.00,15.17,-1.61,0.20,9.00,0.48,0.00,7.69,-1.72,0.19,10.00,0.00,0.00,4.29,-1.76,0.20,9.00,0.00,0.00,5.71,-1.75,0.20,9.00,0.00,0.00,6.19,-1.74,0.18,9.00,0.48,0.00,6.19,-1.80,0.18,9.00,0.00,0.00,3.81,-1.94,0.19,7.00,0.00,0.00,1.90,-1.84,0.21,7.00,0.00,0.00,4.29,-1.86,0.21,7.00,0.00,0.00,4.25
Botswana,BWA,0.82,0.26,4.00,77.42,66.13,84.95,0.82,0.23,4.00,78.07,67.38,84.49,0.86,0.25,4.00,78.19,68.09,85.11,0.62,0.19,6.00,74.60,66.14,80.95,1.24,0.19,7.00,85.19,80.95,91.01,0.88,0.18,8.00,79.80,71.92,85.22,1.16,0.18,8.00,82.93,78.54,91.22,0.94,0.16,10.00,79.02,73.17,84.88,0.99,0.17,10.00,79.61,74.27,88.35,1.02,0.16,10.00,81.07,73.79,87.38,0.93,0.17,10.00,78.95,72.73,84.21,1.00,0.16,10.00,80.95,72.86,84.76,0.97,0.16,10.00,79.62,72.51,84.36,0.91,0.14,11.00,78.20,72.99,82.46,0.89,0.14,12.00,77.73,72.99,82.46,0.81,0.14,11.00,76.92,70.67,81.73,0.78,0.14,13.00,76.67,68.10,80.95,0.87,0.15,12.00,79.52,70.48,82.38,0.71,0.13,12.00,75.71,66.19,80.48,0.72,0.14,12.00,76.19,66.67,80.48,0.69,0.15,12.00,74.29,66.19,80.00,0.61,0.15,12.00,71.43,63.81,79.52,0.67,0.16,11.00,74.76,63.81,80.48,0.66,0.16,11.00,74.06,65.09,79.72
Central African Republic,CAF,-1.14,0.34,2.00,11.29,0.00,32.26,-1.12,0.32,2.00,11.76,0.00,34.76,-1.20,0.35,2.00,7.98,0.00,34.04,-0.98,0.35,2.00,18.52,0.00,42.33,-1.02,0.27,3.00,12.17,2.65,35.98,-1.48,0.23,5.00,1.97,0.00,12.81,-1.30,0.22,6.00,7.80,0.00,18.05,-1.22,0.22,6.00,8.29,0.49,20.00,-1.21,0.22,7.00,8.25,0.97,19.90,-1.14,0.23,6.00,11.65,1.94,24.76,-0.99,0.18,9.00,18.18,4.78,26.79,-0.94,0.18,9.00,18.10,7.14,30.00,-0.97,0.18,9.00,18.01,4.27,26.54,-1.01,0.19,9.00,16.59,3.79,27.49,-1.10,0.19,10.00,12.32,2.37,22.27,-1.17,0.19,10.00,11.06,2.88,20.19,-1.33,0.18,9.00,7.14,0.48,13.33,-1.31,0.18,10.00,8.57,1.43,13.33,-1.20,0.18,10.00,11.43,4.29,17.14,-1.23,0.17,10.00,10.48,4.29,15.71,-1.23,0.17,10.00,10.48,3.81,16.67,-1.29,0.17,8.00,9.52,2.86,16.19,-1.25,0.19,8.00,10.95,4.29,18.57,-1.25,0.19,8.00,8.96,2.83,19.81
Canada,CAN,2.03,0.21,6.00,96.24,91.40,100.00,2.03,0.19,6.00,95.19,91.98,100.00,2.05,0.20,6.00,95.21,92.02,100.00,1.98,0.18,6.00,94.18,91.53,98.94,1.93,0.18,6.00,94.18,91.01,98.41,1.81,0.17,7.00,92.12,91.63,97.04,1.87,0.17,7.00,93.66,92.20,97.56,1.95,0.16,10.00,95.61,91.71,98.54,1.99,0.16,11.00,95.15,91.75,98.54,1.99,0.16,11.00,95.63,92.23,98.06,2.05,0.17,11.00,96.65,93.78,99.04,2.06,0.17,11.00,96.19,93.33,99.52,1.97,0.16,12.00,95.26,92.42,99.05,1.92,0.15,12.00,95.26,92.89,97.63,1.88,0.15,11.00,95.26,91.94,97.16,1.83,0.14,11.00,94.71,91.35,95.67,1.85,0.14,11.00,95.24,91.90,97.14,1.94,0.15,10.00,96.19,92.38,98.57,1.88,0.13,10.00,95.71,91.90,98.10,1.79,0.14,9.00,93.81,90.48,96.67,1.73,0.16,9.00,92.86,90.00,96.67,1.57,0.16,8.00,91.90,88.57,95.24,1.62,0.17,9.00,92.38,89.05,96.19,1.66,0.17,9.00,93.40,89.15,96.70
Switzerland,CHE,1.99,0.21,6.00,95.70,91.40,100.00,2.05,0.19,6.00,95.72,91.98,100.00,2.05,0.20,6.00,94.68,92.02,100.00,2.06,0.18,6.00,95.77,92.06,99.47,2.01,0.18,6.00,96.83,92.06,98.94,1.99,0.17,7.00,96.06,91.63,98.03,2.01,0.17,7.00,97.07,92.68,99.02,2.08,0.18,8.00,96.59,92.68,99.02,2.14,0.19,8.00,96.60,93.20,100.00,2.11,0.18,8.00,97.09,93.20,100.00,2.06,0.17,9.00,97.13,93.78,99.04,2.06,0.17,9.00,96.67,93.33,99.52,2.03,0.17,9.00,95.73,93.36,99.53,2.14,0.16,9.00,97.63,94.31,100.00,2.12,0.17,9.00,97.63,94.79,99.53,2.15,0.16,9.00,98.08,95.19,100.00,2.09,0.16,9.00,97.62,94.29,100.00,1.94,0.16,9.00,95.71,92.38,99.52,1.94,0.14,9.00,96.67,91.90,98.57,1.97,0.16,9.00,96.67,91.90,100.00,1.95,0.17,9.00,96.67,91.90,100.00,2.05,0.18,7.00,97.14,94.76,100.00,1.96,0.20,7.00,96.67,92.86,99.52,2.01,0.20,7.00,97.17,93.87,99.53
Chile,CHL,1.45,0.21,6.00,90.32,81.18,93.01,1.30,0.19,6.00,86.10,81.28,91.98,1.54,0.20,6.00,91.49,84.57,93.62,1.48,0.18,7.00,90.48,83.60,92.06,1.17,0.17,8.00,83.60,79.37,90.48,1.31,0.16,9.00,87.68,83.25,91.63,1.42,0.16,10.00,91.22,82.44,92.68,1.41,0.15,13.00,91.22,84.39,91.71,1.35,0.15,13.00,89.81,83.50,91.75,1.32,0.15,13.00,88.35,81.55,91.75,1.32,0.16,13.00,88.04,81.34,91.39,1.44,0.16,13.00,89.52,83.81,92.86,1.48,0.15,13.00,90.05,84.36,92.89,1.54,0.14,13.00,91.00,87.20,93.36,1.50,0.14,13.00,90.05,86.73,93.36,1.44,0.14,12.00,90.38,84.13,91.83,1.18,0.14,12.00,87.14,79.05,89.52,1.02,0.14,13.00,80.48,77.14,89.05,1.00,0.13,13.00,81.43,78.57,86.67,0.96,0.13,13.00,80.95,76.67,83.33,0.98,0.14,13.00,80.48,76.67,88.10,1.11,0.15,12.00,83.33,79.52,88.57,0.96,0.16,12.00,80.95,75.24,85.24,0.97,0.16,11.00,80.66,75.47,83.96
China,CHN,-0.27,0.19,7.00,48.39,32.26,58.60,-0.35,0.17,7.00,45.99,33.69,53.48,-0.21,0.17,7.00,49.47,40.43,58.51,-0.56,0.16,7.00,35.98,25.40,46.03,-0.40,0.15,8.00,43.92,32.28,53.44,-0.57,0.15,10.00,33.50,24.63,43.84,-0.62,0.14,10.00,32.20,20.98,42.93,-0.52,0.14,11.00,37.07,25.37,46.34,-0.60,0.15,12.00,32.52,19.90,44.17,-0.53,0.14,12.00,36.41,25.73,47.57,-0.52,0.14,12.00,36.84,24.40,48.80,-0.57,0.14,13.00,33.81,21.90,45.24,-0.51,0.14,14.00,36.97,23.70,49.76,-0.44,0.13,14.00,41.23,29.86,51.66,-0.36,0.13,13.00,45.02,35.07,54.03,-0.34,0.13,11.00,46.15,35.58,53.85,-0.30,0.13,11.00,47.14,37.14,53.81,-0.27,0.13,12.00,47.14,36.67,55.24,-0.29,0.12,12.00,46.19,39.05,53.33,-0.29,0.13,12.00,45.24,37.14,53.81,-0.31,0.14,11.00,43.81,33.33,52.86,-0.07,0.14,10.00,52.86,44.29,59.05,0.03,0.15,10.00,56.19,48.10,62.38,0.02,0.15,10.00,55.19,48.11,62.26
Côte d'Ivoire,CIV,-0.26,0.26,4.00,49.46,29.57,60.75,-0.50,0.23,4.00,37.97,25.67,51.87,-0.78,0.25,4.00,28.72,8.51,45.21,-0.80,0.21,4.00,26.46,7.94,40.21,-1.01,0.21,5.00,13.23,4.23,30.16,-1.24,0.19,7.00,9.85,0.99,19.21,-1.25,0.18,8.00,9.27,0.00,18.05,-1.21,0.17,9.00,8.78,0.98,19.02,-1.10,0.17,8.00,12.14,3.88,21.84,-1.12,0.16,10.00,12.62,3.40,19.90,-1.12,0.16,12.00,11.96,2.87,21.05,-1.17,0.16,12.00,10.95,1.90,19.05,-1.03,0.15,13.00,16.59,4.27,23.22,-0.84,0.14,14.00,21.80,14.22,31.28,-0.74,0.13,15.00,25.59,17.06,36.49,-0.42,0.13,14.00,42.31,29.81,51.92,-0.46,0.13,15.00,39.52,28.10,50.00,-0.56,0.13,15.00,33.81,23.81,44.76,-0.55,0.13,14.00,36.67,24.29,43.33,-0.53,0.13,14.00,34.29,26.19,43.81,-0.56,0.13,15.00,31.90,25.24,40.95,-0.55,0.14,14.00,32.38,24.29,43.81,-0.40,0.15,13.00,40.48,29.05,49.52,-0.35,0.15,13.00,42.45,30.66,50.94
Cameroon,CMR,-1.33,0.26,4.00,3.76,0.00,18.82,-1.31,0.23,4.00,3.21,0.00,21.39,-1.33,0.25,4.00,2.13,0.00,21.28,-1.21,0.21,4.00,5.82,0.00,23.81,-0.98,0.19,6.00,14.81,5.29,30.16,-1.13,0.18,8.00,11.82,3.94,23.65,-1.20,0.17,10.00,11.22,0.98,18.05,-1.09,0.15,12.00,13.66,5.37,20.98,-1.03,0.16,13.00,16.02,6.31,23.79,-1.03,0.15,13.00,15.53,4.37,23.30,-1.02,0.16,13.00,17.70,4.78,24.40,-1.08,0.16,13.00,14.29,3.33,21.43,-1.17,0.15,15.00,11.37,2.37,18.96,-1.27,0.14,15.00,7.11,0.47,15.17,-1.22,0.13,15.00,9.95,1.42,16.11,-1.18,0.13,15.00,10.10,4.33,15.38,-1.10,0.13,15.00,12.38,7.14,20.00,-1.18,0.13,15.00,11.43,5.71,14.76,-1.23,0.12,15.00,10.95,6.19,14.76,-1.16,0.13,15.00,11.43,8.10,16.19,-1.22,0.13,15.00,10.95,4.76,16.67,-1.14,0.14,14.00,12.38,6.67,19.52,-1.12,0.15,13.00,13.33,6.19,20.48,-1.13,0.15,13.00,13.21,6.60,20.75
"Congo, Rep.",COG,-0.86,0.32,3.00,23.12,3.23,45.70,-1.20,0.31,3.00,5.88,0.00,31.02,-0.94,0.33,3.00,19.68,0.00,43.62,-1.01,0.31,3.00,16.40,0.00,38.62,-1.09,0.30,3.00,9.52,0.00,34.39,-1.04,0.25,5.00,15.27,2.46,29.56,-1.06,0.18,8.00,15.12,4.39,23.41,-1.11,0.18,9.00,11.71,2.93,22.44,-1.16,0.19,9.00,10.19,1.46,19.90,-1.19,0.19,9.00,8.74,1.94,19.42,-1.21,0.18,9.00,8.13,0.96,19.14,-1.16,0.17,9.00,12.38,1.43,20.95,-1.14,0.17,9.00,12.32,2.37,20.38,-1.23,0.16,10.00,9.95,0.47,17.06,-1.18,0.16,11.00,10.43,0.95,20.85,-1.20,0.16,11.00,9.13,3.85,15.87,-1.27,0.15,10.00,9.52,1.90,14.29,-1.23,0.16,10.00,10.48,4.29,14.76,-1.37,0.14,10.00,7.62,1.43,11.90,-1.38,0.15,10.00,8.10,1.43,11.43,-1.44,0.16,10.00,5.24,1.43,10.95,-1.46,0.16,9.00,5.24,0.48,10.95,-1.39,0.16,10.00,6.19,1.43,12.86,-1.36,0.16,10.00,7.08,1.89,14.62
Cook Islands,COK,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.56,0.67,1.00,70.73,36.10,92.68,0.60,0.76,1.00,72.68,30.73,93.17,1.04,0.75,1.00,82.04,51.46,98.54,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-0.58,0.60,1.00,33.49,0.48,69.38,-0.25,0.59,1.00,50.95,7.14,72.86,-0.24,0.60,1.00,52.13,8.06,72.51,-0.23,0.62,1.00,50.71,8.53,76.30,-0.23,0.68,1.00,51.66,3.32,77.73,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.05,1.06,1.00,57.08,0.94,95.28
Colombia,COL,-0.51,0.21,6.00,36.56,23.12,50.54,-0.52,0.19,6.00,36.36,26.74,49.73,-0.41,0.20,6.00,42.55,30.85,54.26,-0.26,0.18,7.00,46.56,35.45,57.67,-0.20,0.17,8.00,50.79,39.68,59.26,-0.14,0.16,11.00,52.22,40.39,58.62,-0.15,0.16,12.00,52.20,42.44,58.05,-0.18,0.15,14.00,52.20,39.51,58.54,-0.28,0.15,15.00,49.03,35.44,56.31,-0.26,0.15,15.00,49.51,36.89,56.80,-0.34,0.15,15.00,45.45,32.06,55.98,-0.42,0.16,15.00,41.43,28.10,52.86,-0.32,0.15,16.00,47.39,34.60,55.45,-0.42,0.14,16.00,42.18,30.81,52.13,-0.44,0.14,15.00,40.28,28.91,52.13,-0.40,0.13,14.00,42.79,30.77,52.40,-0.35,0.14,14.00,44.76,33.81,52.38,-0.38,0.14,14.00,41.90,31.90,52.86,-0.43,0.12,14.00,42.38,30.00,47.14,-0.34,0.13,14.00,43.33,32.86,52.38,-0.28,0.13,14.00,46.19,34.76,52.86,-0.25,0.14,13.00,45.71,34.76,54.76,-0.37,0.16,12.00,42.38,29.52,50.00,-0.36,0.16,11.00,41.04,29.72,51.42
